tier,tier_label,ARTG_ID,product_name,sponsor,zinc_percent,n_uv_filters,uv_filters,actives_with_qty,spf_label,mineral_only,pdf_collected,artg_page,pdf_url
6,chemical-only,290665,BONDI SANDS SPF30 COCONUT BEACH SUNSCREEN LOTION (spray),Bondi Sands Pty Ltd,,5,butyl methoxydibenzoylmethane; homosalate; methylene bis-benzotriazolyl tetramethylbutylphenol; octocrylene; octyl salicylate,butyl methoxydibenzoylmethane 25.0mg/g; octocrylene 30.0mg/g; octyl salicylate 50.0mg/g; homosalate 50.0mg/g; methylene bis-benzotriazolyl tetramethylbutylphenol 7.5mg/g,30,False,False,https://www.tga.gov.au/resources/artg/290665,https://www.ebs.tga.gov.au/servlet/xmlmillr6?dbid=ebs/PublicHTML/pdfStore.nsf&docid=290665&agid=(PrintDetailsPublic)&actionid=1
6,chemical-only,354357,BONDI SANDS SPF30 COCONUT BEACH SUNSCREEN LOTION (spray),Bondi Sands Pty Ltd,,5,butyl methoxydibenzoylmethane; homosalate; methylene bis-benzotriazolyl tetramethylbutylphenol; octocrylene; octyl salicylate,butyl methoxydibenzoylmethane 25.0mg/g; octocrylene 30.0mg/g; octyl salicylate 50.0mg/g; homosalate 50.0mg/g; methylene bis-benzotriazolyl tetramethylbutylphenol 7.5mg/g,30,False,False,https://www.tga.gov.au/resources/artg/354357,https://www.ebs.tga.gov.au/servlet/xmlmillr6?dbid=ebs/PublicHTML/pdfStore.nsf&docid=354357&agid=(PrintDetailsPublic)&actionid=1
6,chemical-only,378492,BONDI SANDS SPF30 COCONUT BEACH SUNSCREEN OIL (new formulation),Bondi Sands Pty Ltd,,4,butyl methoxydibenzoylmethane; homosalate; octocrylene; octyl salicylate,butyl methoxydibenzoylmethane 30.0mg/g; octocrylene 100.0mg/g; octyl salicylate 50.0mg/g; homosalate 150.0mg/g,30,False,False,https://www.tga.gov.au/resources/artg/378492,https://www.ebs.tga.gov.au/servlet/xmlmillr6?dbid=ebs/PublicHTML/pdfStore.nsf&docid=378492&agid=(PrintDetailsPublic)&actionid=1
6,chemical-only,381211,BONDI SANDS SPF30 COCONUT BEACH SUNSCREEN OIL (reformulation),Bondi Sands Pty Ltd,,5,butyl methoxydibenzoylmethane; ethylhexyl triazone; homosalate; octocrylene; octyl salicylate,butyl methoxydibenzoylmethane 30.0mg/g; octocrylene 100.0mg/g; octyl salicylate 50.0mg/g; homosalate 100.0mg/g; ethylhexyl triazone 15.0mg/g,30,False,False,https://www.tga.gov.au/resources/artg/381211,https://www.ebs.tga.gov.au/servlet/xmlmillr6?dbid=ebs/PublicHTML/pdfStore.nsf&docid=381211&agid=(PrintDetailsPublic)&actionid=1
6,chemical-only,290122,BONDI SANDS SPF30 COCONUT BEACH SUNSCREEN OIL (spray),Bondi Sands Pty Ltd,,4,butyl methoxydibenzoylmethane; ethylhexyl triazone; octocrylene; octyl salicylate,butyl methoxydibenzoylmethane 32.0mg/g; octocrylene 80.0mg/g; octyl salicylate 50.0mg/g; ethylhexyl triazone 22.0mg/g,30,False,False,https://www.tga.gov.au/resources/artg/290122,https://www.ebs.tga.gov.au/servlet/xmlmillr6?dbid=ebs/PublicHTML/pdfStore.nsf&docid=290122&agid=(PrintDetailsPublic)&actionid=1
6,chemical-only,348874,BONDI SANDS SPF30 FRAGRANCE FREE SUNSCREEN SPRAY,Bondi Sands Pty Ltd,,4,butyl methoxydibenzoylmethane; homosalate; octocrylene; octyl salicylate,butyl methoxydibenzoylmethane 18.0mg/g; octocrylene 48.0mg/g; octyl salicylate 30.0mg/g; homosalate 60.0mg/g,30,False,False,https://www.tga.gov.au/resources/artg/348874,https://www.ebs.tga.gov.au/servlet/xmlmillr6?dbid=ebs/PublicHTML/pdfStore.nsf&docid=348874&agid=(PrintDetailsPublic)&actionid=1
6,chemical-only,354250,BONDI SANDS SPF30 FRAGRANCE FREE SUNSCREEN SPRAY (UK),Bondi Sands Pty Ltd,,5,bemotrizinol; butyl methoxydibenzoylmethane; homosalate; octocrylene; octyl salicylate,butyl methoxydibenzoylmethane 30.0mg/g; octocrylene 30.0mg/g; octyl salicylate 30.0mg/g; homosalate 60.0mg/g; bemotrizinol 0.9mg/g,30,False,False,https://www.tga.gov.au/resources/artg/354250,https://www.ebs.tga.gov.au/servlet/xmlmillr6?dbid=ebs/PublicHTML/pdfStore.nsf&docid=354250&agid=(PrintDetailsPublic)&actionid=1
6,chemical-only,348873,BONDI SANDS SPF50 FRAGRANCE FREE SUNSCREEN SPRAY,Bondi Sands Pty Ltd,,4,butyl methoxydibenzoylmethane; homosalate; octocrylene; octyl salicylate,butyl methoxydibenzoylmethane 18.0mg/g; octocrylene 60.0mg/g; octyl salicylate 30.0mg/g; homosalate 90.0mg/g,50,False,False,https://www.tga.gov.au/resources/artg/348873,https://www.ebs.tga.gov.au/servlet/xmlmillr6?dbid=ebs/PublicHTML/pdfStore.nsf&docid=348873&agid=(PrintDetailsPublic)&actionid=1
6,chemical-only,289337,BONDI SANDS SPF50+ COCONUT BEACH SUNSCREEN LOTION,Bondi Sands Pty Ltd,,5,butyl methoxydibenzoylmethane; homosalate; methylene bis-benzotriazolyl tetramethylbutylphenol; octocrylene; octyl salicylate,butyl methoxydibenzoylmethane 35.0mg/g; octocrylene 50.0mg/g; octyl salicylate 50.0mg/g; homosalate 100.0mg/g; methylene bis-benzotriazolyl tetramethylbutylphenol 15.0mg/g,50,False,False,https://www.tga.gov.au/resources/artg/289337,https://www.ebs.tga.gov.au/servlet/xmlmillr6?dbid=ebs/PublicHTML/pdfStore.nsf&docid=289337&agid=(PrintDetailsPublic)&actionid=1
6,chemical-only,354358,BONDI SANDS SPF50+ COCONUT BEACH SUNSCREEN LOTION,Bondi Sands Pty Ltd,,5,butyl methoxydibenzoylmethane; homosalate; methylene bis-benzotriazolyl tetramethylbutylphenol; octocrylene; octyl salicylate,butyl methoxydibenzoylmethane 35.0mg/g; octocrylene 50.0mg/g; octyl salicylate 50.0mg/g; homosalate 100.0mg/g; methylene bis-benzotriazolyl tetramethylbutylphenol 15.0mg/g,50,False,False,https://www.tga.gov.au/resources/artg/354358,https://www.ebs.tga.gov.au/servlet/xmlmillr6?dbid=ebs/PublicHTML/pdfStore.nsf&docid=354358&agid=(PrintDetailsPublic)&actionid=1
6,chemical-only,395910,BONDI SANDS SPORT SPF50 SUNSCREEN LOTION,Bondi Sands Pty Ltd,,4,butyl methoxydibenzoylmethane; homosalate; octocrylene; octyl salicylate,octyl salicylate 50.0mg/g; octocrylene 100.0mg/g; butyl methoxydibenzoylmethane 30.0mg/g; homosalate 150.0mg/g,50,False,False,https://www.tga.gov.au/resources/artg/395910,https://www.ebs.tga.gov.au/servlet/xmlmillr6?dbid=ebs/PublicHTML/pdfStore.nsf&docid=395910&agid=(PrintDetailsPublic)&actionid=1
6,chemical-only,373790,BONDI SANDS SPORT SPF50 SUNSCREEN SPRAY,Bondi Sands Pty Ltd,,4,butyl methoxydibenzoylmethane; homosalate; octocrylene; octyl salicylate,butyl methoxydibenzoylmethane 18.0mg/g; octocrylene 60.0mg/g; octyl salicylate 30.0mg/g; homosalate 90.0mg/g,50,False,False,https://www.tga.gov.au/resources/artg/373790,https://www.ebs.tga.gov.au/servlet/xmlmillr6?dbid=ebs/PublicHTML/pdfStore.nsf&docid=373790&agid=(PrintDetailsPublic)&actionid=1
6,chemical-only,387331,Banana Boat Dry Balance Sunscreen Lotion SPF50+,Edgewell Personal Care Australia Pty Ltd,,6,bemotrizinol; butyl methoxydibenzoylmethane; ethylhexyl triazone; homosalate; octocrylene; octyl salicylate,octocrylene 60.0mg/g; homosalate 80.0mg/g; octyl salicylate 50.0mg/g; butyl methoxydibenzoylmethane 35.0mg/g; ethylhexyl triazone 13.0mg/g; bemotrizinol 10.0mg/g,50,False,False,https://www.tga.gov.au/resources/artg/387331,https://www.ebs.tga.gov.au/servlet/xmlmillr6?dbid=ebs/PublicHTML/pdfStore.nsf&docid=387331&agid=(PrintDetailsPublic)&actionid=1
6,chemical-only,366376,Banana Boat Dry Balance Very High Protection Clear Sunscreen Spray SPF 50+,Edgewell Personal Care Australia Pty Ltd,,5,4-methylbenzylidene camphor; butyl methoxydibenzoylmethane; homosalate; octocrylene; octyl salicylate,butyl methoxydibenzoylmethane 29.8mg/g; 4-methylbenzylidene camphor 19.9mg/g; octocrylene 35.8mg/g; octyl salicylate 39.8mg/g; homosalate 79.6mg/g,50,False,False,https://www.tga.gov.au/resources/artg/366376,https://www.ebs.tga.gov.au/servlet/xmlmillr6?dbid=ebs/PublicHTML/pdfStore.nsf&docid=366376&agid=(PrintDetailsPublic)&actionid=1
6,chemical-only,474846,Banana Boat Mattifying Face Sunscreen Lotion SPF50+,Edgewell Personal Care Australia Pty Ltd,,6,bemotrizinol; butyl methoxydibenzoylmethane; ethylhexyl triazone; methylene bis-benzotriazolyl tetramethylbutylphenol; octocrylene; octyl salicylate,octocrylene 80.0mg/g; octyl salicylate 50.0mg/g; butyl methoxydibenzoylmethane 50.0mg/g; ethylhexyl triazone 40.0mg/g; bemotrizinol 10.0mg/g; methylene bis-benzotriazolyl tetramethylbutylphenol 20.0mg/g,50,False,False,https://www.tga.gov.au/resources/artg/474846,https://www.ebs.tga.gov.au/servlet/xmlmillr6?dbid=ebs/PublicHTML/pdfStore.nsf&docid=474846&agid=(PrintDetailsPublic)&actionid=1
6,chemical-only,443822,Banana Boat Moisturising Face Sunscreen Lotion SPF 50+,Edgewell Personal Care Australia Pty Ltd,,6,bemotrizinol; butyl methoxydibenzoylmethane; ethylhexyl triazone; homosalate; methylene bis-benzotriazolyl tetramethylbutylphenol; octocrylene,butyl methoxydibenzoylmethane 50.0mg/g; ethylhexyl triazone 40.0mg/g; octocrylene 60.0mg/g; bemotrizinol 10.0mg/g; homosalate 80.0mg/g; methylene bis-benzotriazolyl tetramethylbutylphenol 20.0mg/g,50,False,False,https://www.tga.gov.au/resources/artg/443822,https://www.ebs.tga.gov.au/servlet/xmlmillr6?dbid=ebs/PublicHTML/pdfStore.nsf&docid=443822&agid=(PrintDetailsPublic)&actionid=1
6,chemical-only,443354,Banana Boat Moisturising Sunscreen Lotion SPF 50+,Edgewell Personal Care Australia Pty Ltd,,6,bemotrizinol; butyl methoxydibenzoylmethane; ethylhexyl triazone; homosalate; octocrylene; octyl salicylate,butyl methoxydibenzoylmethane 35.0mg/g; octyl salicylate 50.0mg/g; ethylhexyl triazone 13.0mg/g; octocrylene 60.0mg/g; bemotrizinol 10.0mg/g; homosalate 80.0mg/g,50,False,False,https://www.tga.gov.au/resources/artg/443354,https://www.ebs.tga.gov.au/servlet/xmlmillr6?dbid=ebs/PublicHTML/pdfStore.nsf&docid=443354&agid=(PrintDetailsPublic)&actionid=1
6,chemical-only,524556,Banana Boat Sport Coolzone Sunscreen Lotion Spray,Edgewell Personal Care Australia Pty Ltd,,5,bemotrizinol; butyl methoxydibenzoylmethane; ethylhexyl triazone; octocrylene; octyl salicylate,octocrylene 80.0mg/g; octyl salicylate 50.0mg/g; butyl methoxydibenzoylmethane 45.0mg/g; ethylhexyl triazone 35.0mg/g; bemotrizinol 20.0mg/g,,False,False,https://www.tga.gov.au/resources/artg/524556,https://www.ebs.tga.gov.au/servlet/xmlmillr6?dbid=ebs/PublicHTML/pdfStore.nsf&docid=524556&agid=(PrintDetailsPublic)&actionid=1
6,chemical-only,530062,Banana Boat Sport Coolzone Sunscreen Lotion Spray,Edgewell Personal Care Australia Pty Ltd,,5,bemotrizinol; butyl methoxydibenzoylmethane; ethylhexyl triazone; octocrylene; octyl salicylate,octocrylene 80.0mg/g; octyl salicylate 50.0mg/g; butyl methoxydibenzoylmethane 45.0mg/g; ethylhexyl triazone 35.0mg/g; bemotrizinol 20.0mg/g,,False,False,https://www.tga.gov.au/resources/artg/530062,https://www.ebs.tga.gov.au/servlet/xmlmillr6?dbid=ebs/PublicHTML/pdfStore.nsf&docid=530062&agid=(PrintDetailsPublic)&actionid=1
6,chemical-only,474847,Banana Boat Sport Smartmist Sunscreen Spray SPF50+,Edgewell Personal Care Australia Pty Ltd,,5,bemotrizinol; butyl methoxydibenzoylmethane; ethylhexyl triazone; octocrylene; octyl salicylate,octocrylene 70.0mg/g; octyl salicylate 50.0mg/g; butyl methoxydibenzoylmethane 45.0mg/g; ethylhexyl triazone 40.0mg/g; bemotrizinol 15.0mg/g,50,False,False,https://www.tga.gov.au/resources/artg/474847,https://www.ebs.tga.gov.au/servlet/xmlmillr6?dbid=ebs/PublicHTML/pdfStore.nsf&docid=474847&agid=(PrintDetailsPublic)&actionid=1
6,chemical-only,387335,Banana Boat Sport Sunscreen Lotion SPF50+,Edgewell Personal Care Australia Pty Ltd,,6,bemotrizinol; butyl methoxydibenzoylmethane; ethylhexyl triazone; homosalate; octocrylene; octyl salicylate,octocrylene 60.0mg/g; homosalate 80.0mg/g; octyl salicylate 50.0mg/g; butyl methoxydibenzoylmethane 35.0mg/g; ethylhexyl triazone 13.0mg/g; bemotrizinol 10.0mg/g,50,False,False,https://www.tga.gov.au/resources/artg/387335,https://www.ebs.tga.gov.au/servlet/xmlmillr6?dbid=ebs/PublicHTML/pdfStore.nsf&docid=387335&agid=(PrintDetailsPublic)&actionid=1
6,chemical-only,242873,Banana Boat Sport Very High Protection Sunscreen Lotion Spray SPF 50+,Edgewell Personal Care Australia Pty Ltd,,4,4-methylbenzylidene camphor; bemotrizinol; butyl methoxydibenzoylmethane; octocrylene,butyl methoxydibenzoylmethane 50.0mg/g; 4-methylbenzylidene camphor 40.0mg/g; octocrylene 20.0mg/g; bemotrizinol 5.0mg/g,50,False,False,https://www.tga.gov.au/resources/artg/242873,https://www.ebs.tga.gov.au/servlet/xmlmillr6?dbid=ebs/PublicHTML/pdfStore.nsf&docid=242873&agid=(PrintDetailsPublic)&actionid=1
6,chemical-only,355411,Banana Boat Sport Very High Protection Sunscreen Spray SPF 50+,Edgewell Personal Care Australia Pty Ltd,,5,4-methylbenzylidene camphor; butyl methoxydibenzoylmethane; homosalate; octocrylene; octyl salicylate,butyl methoxydibenzoylmethane 29.8mg/g; 4-methylbenzylidene camphor 19.9mg/g; octocrylene 35.8mg/g; octyl salicylate 39.8mg/g; homosalate 79.6mg/g,50,False,False,https://www.tga.gov.au/resources/artg/355411,https://www.ebs.tga.gov.au/servlet/xmlmillr6?dbid=ebs/PublicHTML/pdfStore.nsf&docid=355411&agid=(PrintDetailsPublic)&actionid=1
